"state","pincode","year","quarter","rank","count","amount"
"karnataka","560068","2024","4",NULL,"3520","5740577"
"karnataka","560068","2024","1",NULL,"3871","5672343"
"karnataka","560068","2023","4",NULL,"3947","5606578"
"karnataka","560100","2024","3",NULL,"3241","5455946"
"karnataka","560068","2024","3",NULL,"3453","5413163"
"karnataka","560068","2024","2",NULL,"3282","5271425"
"karnataka","560100","2024","4",NULL,"3152","5158211"
"karnataka","560043","2024","1",NULL,"2655","4698522"
"karnataka","560066","2024","3",NULL,"2654","4668286"
"maharashtra","411057","2024","4",NULL,"2775","4649485"
"karnataka","560068","2023","3",NULL,"3688","4646310"
"karnataka","560076","2024","1",NULL,"2776","4596888"
"karnataka","560037","2024","4",NULL,"2720","4500835"
"karnataka","560043","2023","4",NULL,"2809","4454698"
"karnataka","560078","2024","1",NULL,"2621","4342390"
"karnataka","560037","2024","3",NULL,"2876","4315416"
"karnataka","560068","2022","4",NULL,"3419","4310528"
"telangana","500072","2023","4",NULL,"2539","4276139"
"karnataka","560066","2024","4",NULL,"2453","4252390"
"telangana","500072","2024","4",NULL,"2743","4242713"
"karnataka","560076","2024","3",NULL,"2402","4241341"
"uttar-pradesh","201301","2024","4",NULL,"2964","4217141"
"karnataka","560037","2023","4",NULL,"2973","4120542"
"karnataka","560076","2024","4",NULL,"2281","4105249"
"karnataka","560068","2023","1",NULL,"3214","4091377"
"karnataka","560037","2024","2",NULL,"2469","4089538"
"karnataka","560076","2023","4",NULL,"2591","4025991"
"maharashtra","411057","2023","4",NULL,"2574","4010497"
"karnataka","560043","2024","2",NULL,"2235","3997393"
"karnataka","560037","2024","1",NULL,"2685","3989582"
"telangana","500081","2024","4",NULL,"2391","3983642"
"karnataka","560068","2023","2",NULL,"3141","3959944"
"karnataka","560037","2023","3",NULL,"2892","3957250"
"karnataka","560076","2024","2",NULL,"2238","3928312"
"karnataka","560091","2024","4",NULL,"2183","3907206"
"maharashtra","411057","2024","3",NULL,"2209","3899516"
"telangana","500072","2024","1",NULL,"2338","3847111"
"rajasthan","302012","2024","4",NULL,"2259","3828445"
"haryana","122001","2024","4",NULL,"2604","3793725"
"karnataka","560103","2024","1",NULL,"2114","3769030"
"telangana","500072","2024","3",NULL,"2327","3766931"
"karnataka","560103","2024","3",NULL,"2228","3764086"
"karnataka","560064","2024","1",NULL,"2065","3742797"
"karnataka","560091","2024","3",NULL,"2326","3714785"
"karnataka","560078","2023","4",NULL,"2515","3710977"
"telangana","500072","2023","2",NULL,"2534","3686902"
"uttar-pradesh","201318","2024","4",NULL,"2011","3668575"
"karnataka","560100","2024","1",NULL,"2288","3663878"
"delhi","110059","2024","4",NULL,"2785","3658733"
"maharashtra","411057","2024","1",NULL,"2366","3619740"
"haryana","122001","2023","4",NULL,"2474","3601541"
"karnataka","560076","2023","3",NULL,"2534","3590807"
"haryana","122001","2024","1",NULL,"2542","3582671"
"karnataka","560078","2024","2",NULL,"2193","3581757"
"karnataka","560077","2024","3",NULL,"1878","3536989"
"karnataka","560068","2022","3",NULL,"2861","3528404"
"karnataka","560064","2023","4",NULL,"1987","3509532"
"madhya-pradesh","452001","2024","4",NULL,"2301","3507377"
"karnataka","560064","2024","4",NULL,"1950","3500059"
"karnataka","560043","2022","4",NULL,"2468","3499600"
"karnataka","560100","2023","4",NULL,"2234","3459846"
"karnataka","560103","2024","4",NULL,"2069","3412924"
"karnataka","560076","2023","1",NULL,"2282","3399622"
"maharashtra","411057","2024","2",NULL,"2103","3395840"
"rajasthan","302012","2024","3",NULL,"2189","3390385"
"maharashtra","411033","2024","4",NULL,"2017","3378682"
"karnataka","560037","2023","2",NULL,"2575","3376141"
"haryana","122001","2024","2",NULL,"2356","3374341"
"telangana","500072","2023","3",NULL,"2646","3365765"
"karnataka","560043","2023","1",NULL,"2365","3356228"
"karnataka","560066","2024","2",NULL,"1831","3348017"
"karnataka","560077","2024","4",NULL,"1784","3347052"
"uttar-pradesh","201301","2024","3",NULL,"2329","3345795"
"karnataka","560091","2024","1",NULL,"2112","3345209"
"uttar-pradesh","201301","2023","4",NULL,"2521","3339961"
"karnataka","560078","2024","4",NULL,"1926","3338219"
"karnataka","560076","2023","2",NULL,"2184","3330509"
"karnataka","560064","2024","3",NULL,"1882","3316406"
"uttar-pradesh","201301","2024","1",NULL,"2451","3288770"
"karnataka","560043","2023","3",NULL,"2443","3288213"
"delhi","110059","2024","1",NULL,"2186","3264956"
"karnataka","560037","2023","1",NULL,"2272","3261324"
"karnataka","560078","2023","3",NULL,"2402","3244684"
"karnataka","560064","2024","2",NULL,"1677","3240374"
"uttar-pradesh","201009","2024","4",NULL,"2110","3199836"
"karnataka","560091","2023","4",NULL,"1978","3194653"
"telangana","500072","2023","1",NULL,"2244","3175666"
"delhi","110059","2023","4",NULL,"2330","3163916"
"karnataka","560043","2023","2",NULL,"2126","3158190"
"telangana","500072","2022","4",NULL,"2486","3151661"
"karnataka","560037","2022","4",NULL,"2424","3146560"
"telangana","500081","2024","3",NULL,"2100","3137168"
"haryana","121004","2024","4",NULL,"2247","3131294"
"karnataka","560076","2022","4",NULL,"2391","3129589"
"karnataka","560078","2024","3",NULL,"1934","3129544"
"karnataka","560078","2022","4",NULL,"2388","3105356"
"telangana","500090","2024","4",NULL,"1612","3102627"
"karnataka","560100","2024","2",NULL,"1961","3095214"
"haryana","122001","2024","3",NULL,"2270","3090606"
